"Plot Title: 1283020 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,07/29/15 01:14:35.495 PM,32.01,Logged,,,
2,07/29/15 01:14:36.495 PM,31.68,,,,
3,07/29/15 01:14:37.495 PM,31.68,,,,
4,07/29/15 01:14:38.495 PM,31.68,,,,
5,07/29/15 01:14:39.495 PM,31.68,,,,
6,07/29/15 01:14:40.495 PM,31.68,,,,
7,07/29/15 01:14:41.495 PM,31.68,,,,
8,07/29/15 01:14:42.495 PM,31.68,,,,
9,07/29/15 01:14:43.495 PM,31.68,,,,
10,07/29/15 01:14:44.495 PM,31.68,,,,
11,07/29/15 01:14:45.495 PM,31.68,,,,
12,07/29/15 01:14:46.495 PM,31.68,,,,
13,07/29/15 01:14:47.495 PM,31.68,,,,
14,07/29/15 01:14:48.495 PM,31.68,,,,
15,07/29/15 01:14:49.495 PM,31.68,,,,
16,07/29/15 01:14:50.495 PM,31.68,,,,
17,07/29/15 01:14:51.495 PM,31.68,,,,
18,07/29/15 01:14:52.495 PM,31.68,,,,
19,07/29/15 01:14:53.495 PM,31.68,,,,
20,07/29/15 01:14:54.495 PM,31.68,,,,
21,07/29/15 01:14:55.495 PM,31.68,,,,
22,07/29/15 01:14:56.495 PM,31.68,,,,
23,07/29/15 01:14:57.495 PM,31.68,,,,
24,07/29/15 01:14:58.495 PM,31.68,,,,
25,07/29/15 01:14:59.495 PM,31.68,,,,
26,07/29/15 01:15:00.495 PM,31.68,,,,
27,07/29/15 01:15:01.495 PM,31.68,,,,
28,07/29/15 01:15:02.495 PM,31.68,,,,
29,07/29/15 01:15:03.495 PM,31.68,,,,
30,07/29/15 01:15:04.495 PM,31.68,,,,
31,07/29/15 01:15:05.495 PM,31.68,,,,
32,07/29/15 01:15:06.495 PM,31.68,,,,
33,07/29/15 01:15:07.495 PM,31.68,,,,
34,07/29/15 01:15:08.495 PM,31.34,,,,
35,07/29/15 01:15:09.495 PM,31.68,,,,
36,07/29/15 01:15:10.495 PM,31.34,,,,
37,07/29/15 01:15:11.495 PM,31.68,,,,
38,07/29/15 01:15:12.495 PM,31.34,,,,
39,07/29/15 01:15:13.495 PM,31.68,,,,
40,07/29/15 01:15:14.495 PM,31.68,,,,
41,07/29/15 01:15:15.495 PM,31.34,,,,
42,07/29/15 01:15:16.495 PM,31.34,,,,
43,07/29/15 01:15:17.495 PM,31.68,,,,
44,07/29/15 01:15:18.495 PM,31.34,,,,
45,07/29/15 01:15:19.495 PM,31.68,,,,
46,07/29/15 01:15:20.495 PM,31.34,,,,
47,07/29/15 01:15:21.495 PM,31.34,,,,
48,07/29/15 01:15:22.495 PM,31.34,,,,
49,07/29/15 01:15:23.495 PM,31.34,,,,
50,07/29/15 01:15:24.495 PM,31.34,,,,
51,07/29/15 01:15:25.495 PM,31.34,,,,
52,07/29/15 01:15:26.495 PM,31.34,,,,
53,07/29/15 01:15:27.495 PM,31.34,,,,
54,07/29/15 01:15:28.495 PM,31.34,,,,
55,07/29/15 01:15:29.495 PM,31.34,,,,
56,07/29/15 01:15:30.495 PM,31.34,,,,
57,07/29/15 01:15:31.495 PM,31.34,,,,
58,07/29/15 01:15:32.495 PM,31.34,,,,
59,07/29/15 01:15:33.495 PM,31.34,,,,
60,07/29/15 01:15:34.495 PM,31.34,,,,
61,07/29/15 01:15:35.495 PM,31.34,,,,
62,07/29/15 01:15:36.495 PM,31.34,,,,
63,07/29/15 01:15:37.495 PM,31.34,,,,
64,07/29/15 01:15:38.495 PM,31.34,,,,
65,07/29/15 01:15:39.495 PM,31.34,,,,
66,07/29/15 01:15:40.495 PM,31.34,,,,
67,07/29/15 01:15:41.495 PM,31.34,,,,
68,07/29/15 01:15:42.495 PM,31.34,,,,
69,07/29/15 01:15:43.495 PM,31.34,,,,
70,07/29/15 01:15:44.495 PM,31.34,,,,
71,07/29/15 01:15:45.495 PM,31.34,,,,
72,07/29/15 01:15:46.495 PM,31.34,,,,
73,07/29/15 01:15:47.495 PM,31.34,,,,
74,07/29/15 01:15:48.495 PM,31.34,,,,
75,07/29/15 01:15:49.495 PM,31.34,,,,
76,07/29/15 01:15:50.495 PM,31.34,,,,
77,07/29/15 01:15:51.495 PM,31.68,,,,
78,07/29/15 01:15:52.495 PM,31.34,,,,
79,07/29/15 01:15:53.495 PM,31.34,,,,
80,07/29/15 01:15:54.495 PM,31.34,,,,
81,07/29/15 01:15:55.495 PM,31.34,,,,
82,07/29/15 01:15:56.495 PM,31.34,,,,
83,07/29/15 01:15:57.495 PM,31.34,,,,
84,07/29/15 01:15:58.495 PM,31.34,,,,
85,07/29/15 01:15:59.495 PM,31.34,,,,
86,07/29/15 01:16:00.495 PM,31.34,,,,
87,07/29/15 01:16:01.495 PM,31.34,,,,
88,07/29/15 01:16:02.495 PM,31.34,,,,
89,07/29/15 01:16:03.495 PM,31.34,,,,
90,07/29/15 01:16:04.495 PM,31.34,,,,
91,07/29/15 01:16:05.495 PM,31.34,,,,
92,07/29/15 01:16:06.495 PM,31.34,,,,
93,07/29/15 01:16:07.495 PM,31.34,,,,
94,07/29/15 01:16:08.495 PM,31.34,,,,
95,07/29/15 01:16:09.495 PM,31.68,,,,
96,07/29/15 01:16:10.495 PM,31.34,,,,
97,07/29/15 01:16:11.495 PM,31.34,,,,
98,07/29/15 01:16:12.495 PM,31.34,,,,
99,07/29/15 01:16:13.495 PM,31.34,,,,
100,07/29/15 01:16:14.495 PM,31.34,,,,
101,07/29/15 01:16:15.495 PM,31.34,,,,
102,07/29/15 01:16:16.495 PM,31.34,,,,
103,07/29/15 01:16:17.495 PM,31.34,,,,
104,07/29/15 01:16:18.495 PM,31.34,,,,
105,07/29/15 01:16:19.495 PM,31.34,,,,
106,07/29/15 01:16:20.495 PM,31.34,,,,
107,07/29/15 01:16:21.495 PM,31.34,,,,
108,07/29/15 01:16:22.495 PM,31.34,,,,
109,07/29/15 01:16:23.495 PM,31.34,,,,
110,07/29/15 01:16:24.495 PM,31.34,,,,
111,07/29/15 01:16:25.495 PM,31.34,,,,
112,07/29/15 01:16:26.495 PM,31.34,,,,
113,07/29/15 01:16:27.495 PM,31.34,,,,
114,07/29/15 01:16:28.495 PM,31.34,,,,
115,07/29/15 01:16:29.495 PM,31.34,,,,
116,07/29/15 01:16:30.495 PM,31.34,,,,
117,07/29/15 01:16:31.495 PM,31.34,,,,
118,07/29/15 01:16:32.495 PM,31.34,,,,
119,07/29/15 01:16:33.495 PM,31.34,,,,
120,07/29/15 01:16:34.495 PM,31.34,,,,
121,07/29/15 01:16:35.495 PM,31.34,,,,
122,07/29/15 01:16:36.495 PM,31.34,,,,
123,07/29/15 01:16:37.495 PM,31.34,,,,
124,07/29/15 01:16:38.495 PM,31.34,,,,
125,07/29/15 01:16:39.495 PM,31.34,,,,
126,07/29/15 01:16:40.495 PM,31.34,,,,
127,07/29/15 01:16:41.495 PM,31.34,,,,
128,07/29/15 01:16:42.495 PM,31.34,,,,
129,07/29/15 01:16:43.495 PM,31.34,,,,
130,07/29/15 01:16:44.495 PM,31.34,,,,
131,07/29/15 01:16:45.495 PM,31.34,,,,
132,07/29/15 01:16:46.495 PM,31.34,,,,
133,07/29/15 01:16:47.495 PM,31.34,,,,
134,07/29/15 01:16:48.495 PM,31.34,,,,
135,07/29/15 01:16:49.495 PM,31.34,,,,
136,07/29/15 01:16:50.495 PM,31.34,,,,
137,07/29/15 01:16:51.495 PM,31.34,,,,
138,07/29/15 01:16:52.495 PM,31.34,,,,
139,07/29/15 01:16:53.495 PM,31.34,,,,
140,07/29/15 01:16:54.495 PM,31.34,,,,
