"Plot Title: 1282996 "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,07/29/15 01:15:24.3 PM,31.68,Logged,,,
2,07/29/15 01:15:25.3 PM,31.34,,,,
3,07/29/15 01:15:26.3 PM,31.34,,,,
4,07/29/15 01:15:27.3 PM,31.34,,,,
5,07/29/15 01:15:28.3 PM,31.34,,,,
6,07/29/15 01:15:29.3 PM,31.68,,,,
7,07/29/15 01:15:30.3 PM,31.34,,,,
8,07/29/15 01:15:31.3 PM,31.68,,,,
9,07/29/15 01:15:32.3 PM,31.34,,,,
10,07/29/15 01:15:33.3 PM,31.34,,,,
11,07/29/15 01:15:34.3 PM,31.34,,,,
12,07/29/15 01:15:35.3 PM,31.34,,,,
13,07/29/15 01:15:36.3 PM,31.34,,,,
14,07/29/15 01:15:37.3 PM,31.34,,,,
15,07/29/15 01:15:38.3 PM,31.34,,,,
16,07/29/15 01:15:39.3 PM,31.34,,,,
17,07/29/15 01:15:40.3 PM,31.34,,,,
18,07/29/15 01:15:41.3 PM,31.34,,,,
19,07/29/15 01:15:42.3 PM,31.34,,,,
20,07/29/15 01:15:43.3 PM,31.68,,,,
21,07/29/15 01:15:44.3 PM,31.68,,,,
22,07/29/15 01:15:45.3 PM,31.68,,,,
23,07/29/15 01:15:46.3 PM,31.68,,,,
24,07/29/15 01:15:47.3 PM,31.68,,,,
25,07/29/15 01:15:48.3 PM,31.68,,,,
26,07/29/15 01:15:49.3 PM,31.68,,,,
27,07/29/15 01:15:50.3 PM,31.68,,,,
28,07/29/15 01:15:51.3 PM,31.68,,,,
29,07/29/15 01:15:52.3 PM,31.68,,,,
30,07/29/15 01:15:53.3 PM,31.68,,,,
31,07/29/15 01:15:54.3 PM,31.68,,,,
32,07/29/15 01:15:55.3 PM,31.68,,,,
33,07/29/15 01:15:56.3 PM,31.68,,,,
34,07/29/15 01:15:57.3 PM,31.68,,,,
35,07/29/15 01:15:58.3 PM,31.68,,,,
36,07/29/15 01:15:59.3 PM,31.68,,,,
37,07/29/15 01:16:00.3 PM,31.68,,,,
38,07/29/15 01:16:01.3 PM,31.68,,,,
39,07/29/15 01:16:02.3 PM,31.68,,,,
40,07/29/15 01:16:03.3 PM,31.68,,,,
41,07/29/15 01:16:04.3 PM,31.68,,,,
42,07/29/15 01:16:05.3 PM,31.68,,,,
43,07/29/15 01:16:06.3 PM,31.68,,,,
44,07/29/15 01:16:07.3 PM,31.68,,,,
45,07/29/15 01:16:08.3 PM,31.68,,,,
46,07/29/15 01:16:09.3 PM,31.68,,,,
47,07/29/15 01:16:10.3 PM,31.68,,,,
48,07/29/15 01:16:11.3 PM,31.68,,,,
49,07/29/15 01:16:12.3 PM,31.68,,,,
50,07/29/15 01:16:13.3 PM,31.68,,,,
51,07/29/15 01:16:14.3 PM,31.68,,,,
52,07/29/15 01:16:15.3 PM,31.68,,,,
53,07/29/15 01:16:16.3 PM,31.68,,,,
54,07/29/15 01:16:17.3 PM,31.68,,,,
55,07/29/15 01:16:18.3 PM,31.68,,,,
56,07/29/15 01:16:19.3 PM,31.68,,,,
57,07/29/15 01:16:20.3 PM,31.68,,,,
58,07/29/15 01:16:21.3 PM,31.68,,,,
59,07/29/15 01:16:22.3 PM,31.68,,,,
60,07/29/15 01:16:23.3 PM,31.68,,,,
61,07/29/15 01:16:24.3 PM,31.68,,,,
62,07/29/15 01:16:25.3 PM,31.68,,,,
63,07/29/15 01:16:26.3 PM,31.68,,,,
64,07/29/15 01:16:27.3 PM,31.68,,,,
65,07/29/15 01:16:28.3 PM,31.68,,,,
66,07/29/15 01:16:29.3 PM,31.68,,,,
67,07/29/15 01:16:30.3 PM,31.68,,,,
68,07/29/15 01:16:31.3 PM,31.68,,,,
69,07/29/15 01:16:32.3 PM,31.68,,,,
70,07/29/15 01:16:33.3 PM,31.68,,,,
71,07/29/15 01:16:34.3 PM,31.68,,,,
72,07/29/15 01:16:35.3 PM,31.68,,,,
73,07/29/15 01:16:36.3 PM,31.68,,,,
74,07/29/15 01:16:37.3 PM,31.68,,,,
75,07/29/15 01:16:38.3 PM,31.68,,,,
76,07/29/15 01:16:39.3 PM,31.68,,,,
77,07/29/15 01:16:40.3 PM,31.68,,,,
78,07/29/15 01:16:41.3 PM,31.68,,,,
79,07/29/15 01:16:42.3 PM,31.68,,,,
80,07/29/15 01:16:43.3 PM,31.34,,,,
81,07/29/15 01:16:44.3 PM,31.34,,,,
82,07/29/15 01:16:45.3 PM,31.34,,,,
83,07/29/15 01:16:46.3 PM,31.34,,,,
84,07/29/15 01:16:47.3 PM,31.34,,,,
85,07/29/15 01:16:48.3 PM,31.34,,,,
86,07/29/15 01:16:49.3 PM,31.34,,,,
87,07/29/15 01:16:50.3 PM,31.34,,,,
88,07/29/15 01:16:51.3 PM,31.34,,,,
89,07/29/15 01:16:52.3 PM,31.34,,,,
90,07/29/15 01:16:53.3 PM,31.34,,,,
91,07/29/15 01:16:54.3 PM,31.34,,,,
92,07/29/15 01:16:55.3 PM,31.34,,,,
93,07/29/15 01:16:56.3 PM,31.34,,,,
94,07/29/15 01:16:57.3 PM,31.34,,,,
95,07/29/15 01:16:58.3 PM,31.34,,,,
96,07/29/15 01:16:59.3 PM,31.34,,,,
97,07/29/15 01:17:00.3 PM,31.34,,,,
98,07/29/15 01:17:01.3 PM,31.34,,,,
99,07/29/15 01:17:02.3 PM,31.34,,,,
100,07/29/15 01:17:03.3 PM,31.68,,,,
101,07/29/15 01:17:04.3 PM,31.34,,,,
102,07/29/15 01:17:05.3 PM,31.68,,,,
103,07/29/15 01:17:06.3 PM,31.34,,,,
104,07/29/15 01:17:07.3 PM,31.34,,,,
105,07/29/15 01:17:08.3 PM,31.68,,,,
106,07/29/15 01:17:09.3 PM,31.68,,,,
107,07/29/15 01:17:10.3 PM,31.34,,,,
108,07/29/15 01:17:11.3 PM,31.68,,,,
109,07/29/15 01:17:12.3 PM,31.68,,,,
110,07/29/15 01:17:13.3 PM,31.34,,,,
111,07/29/15 01:17:14.3 PM,31.68,,,,
112,07/29/15 01:17:15.3 PM,31.68,,,,
113,07/29/15 01:17:16.3 PM,31.68,,,,
114,07/29/15 01:17:17.3 PM,31.68,,,,
115,07/29/15 01:17:18.3 PM,31.68,,,,
116,07/29/15 01:17:19.3 PM,31.34,,,,
117,07/29/15 01:17:20.3 PM,31.68,,,,
118,07/29/15 01:17:21.3 PM,31.68,,,,
119,07/29/15 01:17:22.3 PM,31.68,,,,
120,07/29/15 01:17:23.3 PM,31.68,,,,
121,07/29/15 01:17:24.3 PM,31.34,,,,
122,07/29/15 01:17:25.3 PM,31.68,,,,
123,07/29/15 01:17:26.3 PM,31.68,,,,
124,07/29/15 01:17:27.3 PM,31.34,,,,
125,07/29/15 01:17:28.3 PM,31.34,,,,
126,07/29/15 01:17:29.3 PM,31.34,,,,
127,07/29/15 01:17:30.3 PM,31.68,,,,
128,07/29/15 01:17:31.3 PM,31.68,,,,
129,07/29/15 01:17:32.3 PM,31.68,,,,
130,07/29/15 01:17:33.3 PM,31.68,,,,
131,07/29/15 01:17:34.3 PM,31.68,,,,
132,07/29/15 01:17:35.3 PM,31.34,,,,
133,07/29/15 01:17:36.3 PM,31.34,,,,
134,07/29/15 01:17:37.3 PM,31.68,,,,
135,07/29/15 01:17:38.3 PM,31.34,,,,
136,07/29/15 01:17:39.3 PM,31.68,,,,
137,07/29/15 01:17:40.3 PM,31.68,,,,
138,07/29/15 01:17:41.3 PM,31.34,,,,
139,07/29/15 01:17:42.3 PM,31.68,,,,
140,07/29/15 01:17:43.3 PM,31.34,,,,
141,07/29/15 01:17:44.3 PM,31.34,,,,
142,07/29/15 01:17:45.3 PM,31.34,,,,
143,07/29/15 01:17:46.3 PM,31.34,,,,
144,07/29/15 01:17:47.3 PM,31.34,,,,
145,07/29/15 01:17:48.3 PM,31.68,,,,
146,07/29/15 01:17:49.3 PM,31.68,,,,
147,07/29/15 01:17:50.3 PM,31.34,,,,
148,07/29/15 01:17:51.3 PM,31.68,,,,
149,07/29/15 01:17:52.3 PM,31.34,,,,
150,07/29/15 01:17:53.3 PM,31.68,,,,
151,07/29/15 01:17:54.3 PM,31.34,,,,
152,07/29/15 01:17:55.3 PM,31.34,,,,
153,07/29/15 01:17:56.3 PM,31.68,,,,
154,07/29/15 01:17:57.3 PM,31.68,,,,
155,07/29/15 01:17:58.3 PM,31.34,,,,
156,07/29/15 01:17:59.3 PM,31.34,,,,
157,07/29/15 01:18:00.3 PM,31.68,,,,
158,07/29/15 01:18:01.3 PM,31.34,,,,
159,07/29/15 01:18:02.3 PM,31.34,,,,
160,07/29/15 01:18:03.3 PM,31.34,,,,
161,07/29/15 01:18:04.3 PM,31.34,,,,
162,07/29/15 01:18:05.3 PM,31.34,,,,
163,07/29/15 01:18:06.3 PM,31.34,,,,
164,07/29/15 01:18:07.3 PM,31.34,,,,
165,07/29/15 01:18:08.3 PM,31.34,,,,
166,07/29/15 01:18:09.3 PM,31.34,,,,
167,07/29/15 01:18:10.3 PM,31.34,,,,
168,07/29/15 01:18:11.3 PM,31.34,,,,
169,07/29/15 01:18:12.3 PM,31.34,,,,
170,07/29/15 01:18:13.3 PM,31.34,,,,
171,07/29/15 01:18:14.3 PM,31.34,,,,
172,07/29/15 01:18:15.3 PM,31.34,,,,
173,07/29/15 01:18:16.3 PM,31.34,,,,
174,07/29/15 01:18:17.3 PM,31.34,,,,
175,07/29/15 01:18:18.3 PM,31.34,,,,
176,07/29/15 01:18:19.3 PM,31.34,,,,
177,07/29/15 01:18:20.3 PM,31.34,,,,
178,07/29/15 01:18:21.3 PM,31.34,,,,
179,07/29/15 01:18:22.3 PM,31.34,,,,
180,07/29/15 01:18:23.3 PM,31.34,,,,
181,07/29/15 01:18:24.3 PM,31.34,,,,
182,07/29/15 01:18:25.3 PM,31.34,,,,
