"Plot Title: 1253388 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
1,08/20/15 10:58:29.843 AM,21.96,Logged,,,,,
2,08/20/15 10:58:30.843 AM,21.96,,,,,,
3,08/20/15 10:58:31.843 AM,21.96,,,,,,
4,08/20/15 10:58:32.843 AM,21.96,,,,,,
5,08/20/15 10:58:33.843 AM,21.96,,,,,,
6,08/20/15 10:58:34.843 AM,21.96,,,,,,
7,08/20/15 10:58:35.843 AM,21.96,,,,,,
8,08/20/15 10:58:36 AM,,,Logged,,,,
9,08/20/15 10:58:36.843 AM,21.96,,,,,,
10,08/20/15 10:58:37.843 AM,21.96,,,,,,
11,08/20/15 10:58:38 AM,,,,Logged,,,
12,08/20/15 10:58:38.843 AM,21.96,,,,,,
13,08/20/15 10:58:39.843 AM,21.96,,,,,,
14,08/20/15 10:58:40.843 AM,21.96,,,,,,
15,08/20/15 10:58:41.843 AM,21.96,,,,,,
16,08/20/15 10:58:42.843 AM,21.62,,,,,,
17,08/20/15 10:58:43.843 AM,21.96,,,,,,
18,08/20/15 10:58:44.843 AM,21.96,,,,,,
19,08/20/15 10:58:45.843 AM,21.96,,,,,,
20,08/20/15 10:58:46.843 AM,21.96,,,,,,
21,08/20/15 10:58:47.843 AM,21.96,,,,,,
22,08/20/15 10:58:48.843 AM,21.96,,,,,,
23,08/20/15 10:58:49.843 AM,21.96,,,,,,
24,08/20/15 10:58:50.843 AM,21.96,,,,,,
25,08/20/15 10:58:51.843 AM,21.96,,,,,,
26,08/20/15 10:58:52.843 AM,21.96,,,,,,
27,08/20/15 10:58:53.843 AM,21.96,,,,,,
28,08/20/15 10:58:54.843 AM,21.96,,,,,,
29,08/20/15 10:58:55.843 AM,21.96,,,,,,
30,08/20/15 10:58:56.843 AM,21.96,,,,,,
31,08/20/15 10:58:57.843 AM,21.96,,,,,,
32,08/20/15 10:58:58.843 AM,21.96,,,,,,
33,08/20/15 10:58:59.843 AM,21.96,,,,,,
34,08/20/15 10:59:00.843 AM,21.96,,,,,,
35,08/20/15 10:59:01.843 AM,21.96,,,,,,
36,08/20/15 10:59:02.843 AM,21.96,,,,,,
37,08/20/15 10:59:03.843 AM,21.96,,,,,,
38,08/20/15 10:59:04.843 AM,21.96,,,,,,
39,08/20/15 10:59:05.843 AM,22.29,,,,,,
40,08/20/15 10:59:06.843 AM,22.29,,,,,,
41,08/20/15 10:59:07.843 AM,21.96,,,,,,
42,08/20/15 10:59:08.843 AM,21.96,,,,,,
43,08/20/15 10:59:09.843 AM,21.96,,,,,,
