"Plot Title: 1283025 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
1,08/25/15 10:40:13.009 AM,28.00,Logged,,,,,
2,08/25/15 10:40:14 AM,,,Logged,,,,
3,08/25/15 10:40:14.009 AM,28.00,,,,,,
4,08/25/15 10:40:15.009 AM,28.00,,,,,,
5,08/25/15 10:40:16.009 AM,28.00,,,,,,
6,08/25/15 10:40:17.009 AM,28.00,,,,,,
7,08/25/15 10:40:18.009 AM,27.67,,,,,,
8,08/25/15 10:40:19.009 AM,28.00,,,,,,
9,08/25/15 10:40:20.009 AM,28.00,,,,,,
10,08/25/15 10:40:21.009 AM,28.00,,,,,,
11,08/25/15 10:40:22.009 AM,28.00,,,,,,
12,08/25/15 10:40:23.009 AM,28.00,,,,,,
13,08/25/15 10:40:24.009 AM,28.00,,,,,,
14,08/25/15 10:40:25.009 AM,28.00,,,,,,
15,08/25/15 10:40:26.009 AM,28.00,,,,,,
16,08/25/15 10:40:27.009 AM,28.00,,,,,,
17,08/25/15 10:40:28.009 AM,28.00,,,,,,
18,08/25/15 10:40:29.009 AM,28.00,,,,,,
19,08/25/15 10:40:30.009 AM,28.00,,,,,,
20,08/25/15 10:40:31.009 AM,28.00,,,,,,
21,08/25/15 10:40:32.009 AM,28.00,,,,,,
22,08/25/15 10:40:33.009 AM,28.00,,,,,,
23,08/25/15 10:40:34.009 AM,28.00,,,,,,
24,08/25/15 10:40:35.009 AM,28.00,,,,,,
25,08/25/15 10:40:36.009 AM,28.00,,,,,,
26,08/25/15 10:40:37.009 AM,28.00,,,,,,
27,08/25/15 10:40:38.009 AM,28.00,,,,,,
28,08/25/15 10:40:39.009 AM,28.00,,,,,,
29,08/25/15 10:40:40.009 AM,28.00,,,,,,
30,08/25/15 10:40:41.009 AM,28.00,,,,,,
31,08/25/15 10:40:42.009 AM,28.00,,,,,,
32,08/25/15 10:40:43.009 AM,28.00,,,,,,
33,08/25/15 10:40:44.009 AM,28.00,,,,,,
34,08/25/15 10:40:45.009 AM,28.00,,,,,,
35,08/25/15 10:40:46.009 AM,28.00,,,,,,
36,08/25/15 10:40:47.009 AM,28.00,,,,,,
37,08/25/15 10:40:48.009 AM,28.00,,,,,,
38,08/25/15 10:40:49.009 AM,28.00,,,,,,
39,08/25/15 10:40:50.009 AM,28.00,,,,,,
40,08/25/15 10:40:51.009 AM,28.00,,,,,,
41,08/25/15 10:40:52.009 AM,28.00,,,,,,
42,08/25/15 10:40:53.009 AM,28.00,,,,,,
43,08/25/15 10:40:54.009 AM,28.00,,,,,,
44,08/25/15 10:40:55.009 AM,28.00,,,,,,
45,08/25/15 10:40:56.009 AM,28.00,,,,,,
46,08/25/15 10:40:57.009 AM,28.00,,,,,,
47,08/25/15 10:40:58.009 AM,28.00,,,,,,
