"Plot Title: Experiment "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,10/19/15 01:24:36.687 PM,21.28,Logged,,,
2,10/19/15 01:24:37.687 PM,20.95,,,,
3,10/19/15 01:24:38.687 PM,20.95,,,,
4,10/19/15 01:24:39.687 PM,21.28,,,,
5,10/19/15 01:24:40.687 PM,20.95,,,,
6,10/19/15 01:24:41.687 PM,20.95,,,,
7,10/19/15 01:24:42.687 PM,20.95,,,,
8,10/19/15 01:24:43.687 PM,20.95,,,,
9,10/19/15 01:24:44.687 PM,20.95,,,,
10,10/19/15 01:24:45.687 PM,20.95,,,,
11,10/19/15 01:24:46.687 PM,20.95,,,,
12,10/19/15 01:24:47.687 PM,20.95,,,,
13,10/19/15 01:24:48.687 PM,20.95,,,,
14,10/19/15 01:24:49.687 PM,20.95,,,,
15,10/19/15 01:24:50.687 PM,20.95,,,,
16,10/19/15 01:24:51.687 PM,20.95,,,,
17,10/19/15 01:24:52.687 PM,20.95,,,,
18,10/19/15 01:24:53.687 PM,20.95,,,,
19,10/19/15 01:24:54.687 PM,20.95,,,,
20,10/19/15 01:24:55.687 PM,20.95,,,,
21,10/19/15 01:24:56.687 PM,20.95,,,,
22,10/19/15 01:24:57.687 PM,20.95,,,,
23,10/19/15 01:24:58.687 PM,20.95,,,,
24,10/19/15 01:24:59.687 PM,20.95,,,,
25,10/19/15 01:25:00.687 PM,20.95,,,,
26,10/19/15 01:25:01.687 PM,20.95,,,,
27,10/19/15 01:25:02.687 PM,20.95,,,,
28,10/19/15 01:25:03.687 PM,20.95,,,,
29,10/19/15 01:25:04.687 PM,20.95,,,,
30,10/19/15 01:25:05.687 PM,20.95,,,,
31,10/19/15 01:25:06.687 PM,20.95,,,,
32,10/19/15 01:25:07.687 PM,20.95,,,,
33,10/19/15 01:25:08.687 PM,20.95,,,,
34,10/19/15 01:25:09.687 PM,20.95,,,,
35,10/19/15 01:25:10.687 PM,20.95,,,,
36,10/19/15 01:25:11.687 PM,20.95,,,,
37,10/19/15 01:25:12.687 PM,20.95,,,,
38,10/19/15 01:25:13.687 PM,20.95,,,,
39,10/19/15 01:25:14.687 PM,20.95,,,,
40,10/19/15 01:25:15.687 PM,20.95,,,,
41,10/19/15 01:25:16.687 PM,20.95,,,,
42,10/19/15 01:25:17.687 PM,20.95,,,,
43,10/19/15 01:25:18.687 PM,21.28,,,,
44,10/19/15 01:25:19.687 PM,20.95,,,,
45,10/19/15 01:25:20.687 PM,20.95,,,,
46,10/19/15 01:25:21.687 PM,20.95,,,,
47,10/19/15 01:25:22.687 PM,20.95,,,,
48,10/19/15 01:25:23.687 PM,20.95,,,,
49,10/19/15 01:25:24.687 PM,20.95,,,,
50,10/19/15 01:25:25.687 PM,20.95,,,,
51,10/19/15 01:25:26.687 PM,20.95,,,,
52,10/19/15 01:25:27.687 PM,20.95,,,,
53,10/19/15 01:25:28.687 PM,20.95,,,,
54,10/19/15 01:25:29.687 PM,20.95,,,,
55,10/19/15 01:25:30.687 PM,20.95,,,,
56,10/19/15 01:25:31.687 PM,20.95,,,,
57,10/19/15 01:25:32.687 PM,20.95,,,,
58,10/19/15 01:25:33.687 PM,20.95,,,,
59,10/19/15 01:25:34.687 PM,20.95,,,,
60,10/19/15 01:25:35.687 PM,20.95,,,,
61,10/19/15 01:25:36.687 PM,20.95,,,,
62,10/19/15 01:25:37.687 PM,20.95,,,,
63,10/19/15 01:25:38.687 PM,21.28,,,,
64,10/19/15 01:25:39.687 PM,20.95,,,,
