tr,spcode,bulk,ignit,sustain,spread,combus,consum,b75.numsecs100,b75.heat100,leaf.length,leaf.area,mixture
11,Abco,0.028749206,1.3,835.4,0.1937,860,97.394,477,2820.5,20.26542377,27.37502008,FALSE
12,Abco,0.033348148,2.3,1080.4,0.1481,790,96.1795,625,3633.5,20.26542377,27.37502008,FALSE
22,Abco,0.06677037,1.2,459,0.3268,460,85.3339,149.5,382,20.26542377,27.37502008,FALSE
23,Abco,0.036412121,2.1,1066.8,0.1459,770,96.3826,701,4435.5,20.26542377,27.37502008,FALSE
24,Abco,0.02505,3,756.7,0.2091,910,95.2096,523,2709,20.26542377,27.37502008,FALSE
35,Abco,0.025027778,1.6,785.6,0.2249,850,93.3629,646,3325.5,20.26542377,27.37502008,FALSE
82,AbcoAbmaCade,0.030776068,1.8,1242.2,0.1303,760,93.868,695.5,3645,33.35295046,295.4978832,TRUE
193,AbcoAbmaCade,0.025016667,1.4,519.8,0.3254,960,93.2934,543.5,2683.5,33.35295046,295.4978832,TRUE
194,AbcoAbmaCade,0.02669037,2.7,865,0.185,950,95.1377,446,2383.5,33.35295046,295.4978832,TRUE
101,AbcoAbmaPila,0.024994444,1.5,556.4,0.3,930,94.9322,606,2969.5,37.33163748,227.6298865,TRUE
102,AbcoAbmaPila,0.040017778,1.3,743.1,0.2196,810,90.7819,230,1612.5,37.33163748,227.6298865,TRUE
103,AbcoAbmaPila,0.033340741,0.8,698.3,0.2588,830,92.6239,750.5,4004.5,37.33163748,227.6298865,TRUE
104,AbcoAbmaPila,0.024988889,1,553.2,0.3259,900,92.5522,719.5,3240.5,37.33163748,227.6298865,TRUE
163,AbcoAbmaPila,0.025022222,1,460.6,0.3554,880,94.0497,603.5,3776,37.33163748,227.6298865,TRUE
84,AbcoAbmaPipo,0.022232099,1.6,685.6,0.2354,910,93.936,727,3287.5,74.79126711,519.352503,TRUE
206,AbcoAbmaPipo,0.022237037,1.1,572,0.3085,870,94.1817,492.5,2224,74.79126711,519.352503,TRUE
207,AbcoAbmaPipo,0.020013333,0.9,393.1,0.4383,1050,95.2476,535,2514,74.79126711,519.352503,TRUE
85,AbcoAbmaSegi,0.026654815,1.4,985,0.1613,810,95.4647,560.5,3009,32.04530064,141.6100848,TRUE
143,AbcoAbmaSegi,0.033340741,3.4,874.1,0.1913,800,92.4017,619,2920.5,32.04530064,141.6100848,TRUE
144,AbcoAbmaSegi,0.028590476,1.9,805,0.1957,830,92.0497,712.5,3870,32.04530064,141.6100848,TRUE
164,AbcoAbmaSegi,0.028571429,1.7,743.9,0.2291,810,94.8222,500.5,2739,32.04530064,141.6100848,TRUE
165,AbcoAbmaSegi,0.03337037,1.6,1059.2,0.1616,780,93.141,789.5,4123,32.04530064,141.6100848,TRUE
86,AbcoCadePije,0.028590476,1.2,753.8,0.2301,830,90.895,773.5,3930,79.4131209,832.0452445,TRUE
123,AbcoCadePije,0.020004444,1.6,543.5,0.3139,1040,94.6234,723,4094.5,79.4131209,832.0452445,TRUE
124,AbcoCadePije,0.022222222,1.3,586.8,0.341,1040,91.4,830,4765,79.4131209,832.0452445,TRUE
125,AbcoCadePije,0.023518954,1.3,607.8,0.2776,860,92.9747,778.5,4046.5,79.4131209,832.0452445,TRUE
166,AbcoCadePije,0.025011111,0.8,612.8,0.3019,840,91.6482,698.5,3871.5,79.4131209,832.0452445,TRUE
105,AbcoCadePila,0.040008889,1,784.1,0.2064,1040,93.8458,777,3935.5,56.44978757,507.7622696,TRUE
106,AbcoCadePila,0.05,1.6,1007.2,0.1586,790,92.7111,852,4379,56.44978757,507.7622696,TRUE
107,AbcoCadePila,0.033296296,1.1,717.4,0.2557,840,90.2113,800,4704.5,56.44978757,507.7622696,TRUE
108,AbcoCadePila,0.033348148,2.1,626.2,0.2699,910,92.781,754,3926,56.44978757,507.7622696,TRUE
167,AbcoCadePila,0.03337037,1,569.5,0.2957,820,82.5527,471.5,2665,56.44978757,507.7622696,TRUE
87,AbcoCadePipo,0.028571429,1.7,795.4,0.2189,730,87.2889,821.5,4553,93.9094172,799.4848861,TRUE
180,AbcoCadePipo,0.022246914,1.7,466.8,0.393,1060,94.0511,484.5,2671,93.9094172,799.4848861,TRUE
195,AbcoCadePipo,0.022232099,1.9,521.7,0.3347,980,92.4922,541,2285.5,93.9094172,799.4848861,TRUE
36,AbcoCadeSegi,0.036412121,2,1095.8,0.1487,710,88.9481,742,3460,51.16345073,421.7424679,TRUE
88,AbcoCadeSegi,0.040053333,3.2,1298.7,0.1293,720,85.5082,569,2676,51.16345073,421.7424679,TRUE
126,AbcoCadeSegi,0.033340741,1.5,990.3,0.1919,860,92.1129,643.5,3786.5,51.16345073,421.7424679,TRUE
127,AbcoCadeSegi,0.028584127,1.7,808,0.2294,810,88.7161,719.5,3240.5,51.16345073,421.7424679,TRUE
128,AbcoCadeSegi,0.028596825,3.1,857.6,0.1957,840,90.2975,457,1736,51.16345073,421.7424679,TRUE
45,AbcoPijePila,0.033340741,1.8,803.1,0.2195,730,79.4934,852.5,4703,83.39180792,764.1772478,TRUE
182,AbcoPijePila,0.026702222,1.7,622.4,0.2601,860,89.718,510.5,2376.5,83.39180792,764.1772478,TRUE
60,AbcoPijePila,0.033355556,2,537.5,0.352,950,94.2299,658.5,3884.5,83.39180792,764.1772478,TRUE
48,AbcoPijePipo,0.020008889,1,550.9,0.2847,1050,89.5602,658,3862,120.8514376,1055.899864,TRUE
62,AbcoPijePipo,0.025,2.9,498.7,0.3711,940,94.3556,604,3242,120.8514376,1055.899864,TRUE
63,AbcoPijePipo,0.020004444,2.7,532,0.3787,1120,91.4463,614.5,3218.5,120.8514376,1055.899864,TRUE
89,AbcoPijePipo,0.022251852,1.2,594.7,0.3028,970,86.1296,618,2733,120.8514376,1055.899864,TRUE
110,AbcoPijePipo,0.019986667,1.9,524.7,0.3396,1070,95.5748,489.5,2310.5,120.8514376,1055.899864,TRUE
181,AbcoPijeQuke,0.019991111,1.3,434.4,0.4456,1050,92.048,539.5,2872.5,77.88389632,1188.574167,TRUE
196,AbcoPijeQuke,0.020008889,1.8,442.4,0.3734,1010,92.9127,496,2947,77.88389632,1188.574167,TRUE
109,AbcoPijeQuke,0.02222716,1.3,448,0.5747,1160,93.6639,652,2644,77.88389632,1188.574167,TRUE
90,AbcoPijeSegi,0.028584127,2.6,773.1,0.2209,790,87.5611,751.5,3202.5,78.10547109,678.1574462,TRUE
145,AbcoPijeSegi,0.02222716,2.3,468.4,0.3708,960,94.0458,532,2935,78.10547109,678.1574462,TRUE
146,AbcoPijeSegi,0.022246914,1.4,609.8,0.3173,940,90.9878,569.5,2328.5,78.10547109,678.1574462,TRUE
46,AbcoPilaPipo,0.02222716,1.1,619.4,0.2586,820,89.3579,571,3365.5,97.88810422,731.6168894,TRUE
47,AbcoPilaPipo,0.028571429,1.1,633.7,0.2433,810,88.3778,704.5,3287,97.88810422,731.6168894,TRUE
61,AbcoPilaPipo,0.028609524,3.1,620.4,0.2911,820,94.9401,678.5,3692,97.88810422,731.6168894,TRUE
168,AbcoPilaPipo,0.022237037,1.3,480.8,0.365,1010,92.4273,608,3059.5,97.88810422,731.6168894,TRUE
169,AbcoPilaPipo,0.025005556,1.3,593,0.2964,810,92.9127,589,4278.5,97.88810422,731.6168894,TRUE
111,AbcoPilaQuke,0.019991111,1.2,396.9,0.5785,1080,92.4411,657.5,3168.5,54.92056299,864.2911921,TRUE
112,AbcoPilaQuke,0.020004444,1.4,525.3,0.4757,930,83.8703,621,2536,54.92056299,864.2911921,TRUE
113,AbcoPilaQuke,0.020017778,1.3,362.6,0.6353,1050,94.5826,609,3099,54.92056299,864.2911921,TRUE
114,AbcoPilaQuke,0.019986667,1.2,449.1,0.5721,1030,87.6807,719.5,3634.5,54.92056299,864.2911921,TRUE
170,AbcoPilaQuke,0.022232099,0.6,406.6,0.5194,1000,90.8707,572,2784.5,54.92056299,864.2911921,TRUE
115,AbcoPilaSegi,0.033340741,1.3,597.3,0.286,820,90.3133,723,4094.5,55.14213775,353.8744713,TRUE
116,AbcoPilaSegi,0.028584127,1.2,782.1,0.2183,810,90.271,847.5,4459.5,55.14213775,353.8744713,TRUE
117,AbcoPilaSegi,0.025005556,0.9,611.2,0.3014,1050,92.0462,714,3481.5,55.14213775,353.8744713,TRUE
118,AbcoPilaSegi,0.025022222,1.2,665.8,0.2809,880,90.2975,778.5,4046.5,55.14213775,353.8744713,TRUE
147,AbcoPilaSegi,0.026648889,1.7,743.6,0.2412,950,92.6618,435,1822.5,55.14213775,353.8744713,TRUE
91,AbcoPipoSegi,0.028596825,1.6,890.7,0.2105,820,90.2531,589.5,3125.5,92.60176738,645.5970877,TRUE
148,AbcoPipoSegi,0.025033333,1.2,682.9,0.3032,979,89.8802,678,3094.5,92.60176738,645.5970877,TRUE
149,AbcoPipoSegi,0.022261728,1.2,507,0.3284,1010,93.5892,395,1072,92.60176738,645.5970877,TRUE
171,AbcoPipoSegi,0.028577778,1.1,668.1,0.2618,840,91.5352,446,2129,92.60176738,645.5970877,TRUE
172,AbcoPipoSegi,0.025011111,1,514.7,0.3246,940,94.98,599.5,3227,92.60176738,645.5970877,TRUE
13,Abma,0.040124444,2.8,1229.3,0.1279,770,96.8764,603,3649.5,11.21948866,9.360740055,FALSE
14,Abma,0.040044444,2,1233.9,0.1335,680,96.2708,690,3584,11.21948866,9.360740055,FALSE
25,Abma,0.040017778,3.7,1288.6,0.1261,730,96.9125,750,4293.5,11.21948866,9.360740055,FALSE
26,Abma,0.044474074,2.9,1337.5,0.1207,720,97.0908,640,3701.5,11.21948866,9.360740055,FALSE
27,Abma,0.044454321,3.9,1199.3,0.137,820,96.2231,709.5,3825,11.21948866,9.360740055,FALSE
92,AbmaCadePije,0.028577778,1.5,700.1,0.2752,870,87.2251,656.5,3180.5,76.3978092,826.0404845,TRUE
129,AbmaCadePije,0.028539683,1.1,645.3,0.2817,940,91.4572,665.5,3182.5,76.3978092,826.0404845,TRUE
130,AbmaCadePije,0.022237037,1.6,482.4,0.3387,1020,92.8714,649.5,3174.5,76.3978092,826.0404845,TRUE
131,AbmaCadePije,0.022241975,2,567.5,0.3173,1050,94.0941,489.5,2310.5,76.3978092,826.0404845,TRUE
173,AbmaCadePije,0.028571429,0.8,617.1,0.2666,920,94.0889,555.5,2666.5,76.3978092,826.0404845,TRUE
49,AbmaCadePipo,0.023545098,2.2,689.7,0.2494,970,93.6265,813,4576,90.8941055,793.480126,TRUE
