spcode,MC_dry,actualMC_dry,hour,t2ignit,ignit,sustain,combust,consum,spread,rh,T_C,year,month,day,time
Abco,10,11.6,96,16.53,1,95.04,190,6.4,0.031565657,57.9,23.9,,5,4,12:35
Abco,10,9,96,10.58,1,400.68,530,19.88,0.087351502,47.9,26.6,,5,4,14:42
Abco,10,13.3,96,20.74,1,160.24,280,6.33,0.031203195,35.6,25.4,,5,26,13:13
Abco,10,11.6,96,11.73,0,118.36,0,6.96,0,30,27.6,,5,26,15:30
Abco,10,8.9,96,9.93,1,892.5,350,15.63,0.075070028,49.7,31.5,,7,27,10:46
Abco,20,18.2,72,10.93,1,950.35,590,29,0.07260483,37.2,35.6,,8,14,12:53
Abco,20,15.9,72,7.21,0,0,0,0,0,34.3,37.3,,8,14,15:20
Abco,20,20.4,72,14.13,0,0,0,0,0,53.2,29.2,,8,25,11:35
Abco,20,17.6,72,9,0,0,0,0,0,40.7,32.5,,8,25,13:09
Abco,25,27.7,48,29.49,0,27.24,290,0,0,67.1,20.4,,4,23,13:07
Abco,25,25.9,48,20.27,0,23.66,270,0,0,66.4,20.4,,4,23,13:36
Abco,25,25,48,16.94,0,119,230,4.02,0,42.4,34.9,,7,27,13:03
Abco,25,23.6,48,10.07,0,0,0,0,0,33.3,38,,7,27,15:48
Abma,10,11.1,96,8.8,1,1497.05,670,62.1,0.066130056,64.1,22.1,,0,0,0:00
Abma,10,12,96,9.83,1,1671.99,620,94.95,0.094990818,55.5,24.3,,0,0,1:00
Abma,10,13.7,96,17.29,1,790.68,510,20.93,0.069560378,37.2,24.7,,0,0,2:00
Abma,10,12.1,96,10.92,1,2288.78,650,92.2,0.073782587,33.9,25.7,,0,0,3:00
Abma,10,9.5,96,4,1,1799.99,670,94.48,0.090230449,57.6,27.3,,5,4,11:11
Abma,10,10.3,96,7.55,1,1833.12,720,94.48,0.091389857,53.3,30.3,,5,4,12:58
Abma,20,15.4,72,6,0,0,0,0,0,39.2,34.2,,5,26,12:49
Abma,20,21,72,12.92,1,785.46,540,22.88,0.064930105,35.8,35,,5,26,13:56
Abma,20,16.7,72,7.58,0,0,0,0,0,36.7,30.6,,7,21,11:49
Abma,20,16.8,72,9.75,0,0,0,0,0,33,33.2,,7,21,13:43
Abma,25,23.5,48,11.47,0,26.19,150,1.15,0,71.7,19.1,,8,14,12:19
Abma,25,29.8,48,18.5,0,17.94,250,1,0,37.6,20.2,,8,14,14:38
Abma,25,20.5,48,6.13,0,0,0,0,0,43.2,32.1,,8,17,14:03
Abma,25,28,48,13.43,0,0,0,0,0,44.9,33.3,,8,17,15:18
Cade,10,8.6,144,14.02,0,216.19,90,4.56,0,58.1,27,,4,23,12:53
Cade,10,10.7,144,14.75,0,100.05,280,0,0,45.4,32.5,,4,23,13:20
Cade,10,NA,144,24.04,0,0,0,0,0,50.5,24.7,,8,3,12:37
Cade,20,19.6,120,27.09,0,0,0,1.04,0,48.6,31.8,,8,3,14:16
Cade,20,16.8,120,16.49,0,0,0,0,0,54.6,28.9,,0,0,0:00
Cade,20,17.1,120,17.54,0,0,0,0,0,50.5,31.1,,0,0,1:00
Cade,25,19.8,96,14.64,0,125.34,0,3.16,0,35.1,25.3,,0,0,2:00
Cade,25,23,96,14.64,0,263.15,0,0.6,0,28.6,27.8,,0,0,3:00
Cade,25,27.5,96,18.15,1,240.62,350,5.73,0.137145707,53.4,30.4,,7,21,11:34
Cade,25,35.7,96,27.76,0,0,0,0,0,43.2,34.7,,8,11,12:43
Cade,25,32.6,96,23.61,0,0,0,0,0,37.9,36.3,,7,21,14:51
Cade,45,40,48,180,0,0,0,0,0,44.8,34.1,,8,11,11:05
Cade,45,56.7,48,180,0,0,0,0,0,33.9,38.2,,8,11,11:45
Pije,10,12.6,72,9.15,1,1723.8,730,77.2,0.106134579,48.3,32.3,,5,26,13:25
Pije,10,11.4,72,7.31,1,1093.9,950,82.6,0.151316453,38,36.8,,5,26,15:40
Pije,10,10.8,72,5.35,1,1505.84,850,78.83,0.12157562,52.4,29.5,,7,21,13:27
Pije,10,11,72,6.52,1,846.97,890,90.33,0.197031394,45.4,33,,7,29,14:14
Pije,10,10.7,72,4.58,1,817.42,970,91.38,0.195837794,42.7,27.8,,7,29,15:42
Pije,20,18.4,48,5.68,1,788.81,980,93.1,0.197883961,39.8,33.9,,7,27,12:53
Pije,20,16.7,48,4.91,1,771.41,1040,86.65,0.220225511,35.2,35.7,,7,27,15:40
Pije,20,16.3,48,2.95,1,948.89,830,86.58,0.176178339,53.2,29.2,,0,0,2:00
Pije,20,20.7,48,6.93,1,818.81,800,83.3,0.204660809,40.9,32.3,,0,0,3:00
Pije,20,22.8,48,8.25,1,1030.37,930,91.55,0.155498424,37,29.1,,7,27,11:11
Pije,25,21.9,48,7.32,1,1324.09,970,78.38,0.159029707,37.5,35.2,,7,27,14:01
Pije,25,19.4,48,5.46,1,1142.48,810,58.9,0.114662839,32.3,37.1,,8,3,11:15
Pije,25,32,48,13.82,1,660.59,600,23.85,0.06963472,34.8,30.8,,8,3,13:43
Pije,25,24,48,8.15,1,1251.73,910,84.83,0.147399866,31.9,33.7,,8,31,11:31
Pije,25,22.1,48,7.45,1,660.52,670,36.08,0.115716218,45.4,24.3,,8,14,12:33
Pije,35,33.3,24,5.66,1,1250.89,810,77.73,0.129387308,48.9,30.6,,8,14,15:00
Pije,35,26.9,24,4.96,1,1293.25,820,85.05,0.142951082,37.4,33.1,,8,25,11:46
Pije,35,43.6,24,10.27,1,720.68,670,33.93,0.113580792,30.5,30.4,,8,25,13:20
Pije,35,42,24,8.83,1,116.75,420,5.24,0.119914347,27.5,33,,9,11,14:04
Pije,35,NA,24,10.75,1,730.13,450,8.4,0.072589813,42.9,27.7,,8,14,13:31
Pije,45,46.1,24,9.17,1,554,660,22.1,0.131768953,44.4,33.7,,8,14,15:49
Pije,45,51.3,24,10.62,1,1409,810,85.28,0.112208259,40.2,35.1,,8,17,14:27
Pije,45,43,24,7.93,1,822.37,610,1.2,0.07295986,46.1,32.6,,8,17,15:41
Pije,45,40.6,24,7.67,1,380.24,470,3.95,0.08941721,44,34.8,,8,20,11:22
Pije,45,43.8,24,8.12,1,867.4,500,32.1,0.086465299,48.2,24.4,,8,25,12:19
Pije,45,39.4,24,6.21,1,538.39,590,24.23,0.089154702,47.1,25.2,,8,25,13:39
Pije,55,50,24,3.98,1,416.81,530,22.6,0.114898506,48.7,24.4,,8,31,13:16
Pije,55,55.4,24,4.83,1,501.95,480,4.48,0.105588206,46.7,25.9,,8,31,15:03
Pije,55,NA,24,7.2,1,332.58,430,0,0.090203861,41.1,27.1,,7,29,13:57
Pije,55,57.5,24,10.69,0,0,0,0,0,39.1,30,,7,29,15:08
Pije,55,NA,24,8.83,1,60.63,380,4.49,0.090714168,37.2,30.3,,8,3,13:04
Pije,65,73.5,0,27.93,0,0,0,0,0,44.8,28.1,,8,3,14:47
Pije,65,NA,0,7.7,1,102.22,410,6.44,0.107611035,38.2,30,,8,20,12:08
Pije,65,NA,0,4.98,1,72.2,380,1.87,0.090027701,46.6,27.8,,8,20,13:52
Pije,65,NA,0,13.8,0,0,0,0,0,45.9,28.6,,8,20,12:43
Pije,65,NA,0,10.93,0,0,0,0,0,53.1,24.5,,8,20,14:20
Pila,10,12.7,96,14.95,1,246.45,260,6.75,0.052749036,62.3,22.9,,9,11,13:16
Pila,10,10.3,96,12.27,1,1289.5,630,81.28,0.129388424,51.8,24.6,,9,14,12:21
Pila,10,12.3,96,12.35,1,125.54,390,0,0.159311773,39.6,24.2,,5,4,11:52
Pila,10,10,96,8.87,1,482.33,620,22,0.149275392,56.4,29,,5,4,13:41
Pila,10,9.8,96,3.55,1,781.84,780,43.83,0.211957213,50.4,31.4,,5,26,12:26
Pila,20,24.3,72,5.18,1,527.69,730,23.23,0.18287252,39,34,,7,21,12:36
Pila,20,19.6,72,3.91,1,699.54,660,63.45,0.276151552,35.3,35.3,,7,21,14:24
Pila,20,13,72,2.13,1,473.05,440,13,0.118380721,39.6,29,,8,14,12:01
Pila,20,18.6,72,2.61,1,793.86,790,80.13,0.201150581,29.2,32.2,,8,14,14:19
Pila,20,21.7,72,4.16,0,0,0,0,0,42.5,28.9,,8,31,12:01
Pila,25,24.4,48,5.63,1,343.38,430,0.57,0.081542315,38.3,34.4,,8,31,14:11
Pila,25,20.2,48,3.51,1,601.25,930,75.33,0.306316241,33.5,36.5,,9,11,12:46
Pila,25,20,48,3.1,1,366.27,380,6.33,0.1830689,46.6,24.5,,8,14,13:17
Pila,25,30.4,48,8.13,0,0,0,0,0,47.1,24.9,,8,14,15:30
Pila,25,23.8,48,4.78,1,116.47,390,2.73,0.077273118,32,30.4,,8,20,11:55
Pila,35,39.2,48,18.42,0,73,0,6.13,0,73.4,18.3,,8,20,13:43
Pila,35,48.8,48,24.26,0,29.48,450,11,0,73,18.6,,8,31,12:55
Pila,35,18.9,48,4.73,1,366.9,660,15.93,0.171708913,45.5,33.8,,4,23,11:55
Pila,35,34.6,48,7.12,1,712.3,680,76.88,0.226654578,36.7,36.9,,4,23,12:23
Pila,35,24.7,48,5.5,1,1949.5,520,15.55,0.02513465,48,31,,7,27,11:50
Pila,35,34.8,48,12.67,0,0,0,0,0,44.4,34.1,,7,27,14:30
Pila,35,NA,48,5.86,1,128.74,330,6.58,0.081559733,49.3,27.3,,8,3,11:46
Pila,45,41.8,24,5.8,0,0,0,0,0,42.6,27.4,,8,3,14:05
Pila,45,34.3,24,5.5,0,0,0,0,0,37.7,29.5,,9,11,11:47
Pipo,10,12.2,72,5.37,1,1426.6,810,86.85,0.128910278,40.7,35.6,,9,11,13:25
Pipo,10,9,72,2.61,1,841.7,920,82.98,0.196695515,32.8,37.6,,0,0,2:00
Pipo,10,21.2,72,7.88,1,788.63,1050,93.05,0.204912434,47,30.8,,0,0,3:00
Pipo,10,16.2,72,6.8,1,844.01,1010,90.53,0.228456548,34.9,36,,7,27,13:17
Pipo,10,10.3,72,4.78,1,677,1100,90.08,0.247312537,32.1,32.9,,7,27,15:58
Pipo,20,15.8,72,3.95,1,861.86,980,70.3,0.195353199,57.1,27.3,,8,14,11:38
Pipo,20,16.8,72,5.03,1,865.7,930,78.65,0.183286697,46,31.5,,8,14,13:56
Pipo,20,18.3,72,5.23,1,773.35,920,81.88,0.220296666,38.1,29.1,,8,17,14:47
Pipo,20,15.1,72,3.45,1,606.49,1070,92.03,0.081782057,28.1,32.5,,8,25,11:15
Pipo,20,19.2,72,5.61,1,692.75,1040,89.65,0.275684617,42.1,28.7,,8,25,12:48
Pipo,25,27.4,48,8.03,1,1213.8,850,80.73,0.137918352,47.6,32.3,,8,31,12:19
Pipo,25,29.9,48,14.85,1,1187.9,790,81.13,0.140660165,41.2,35.1,,8,31,14:35
Pipo,25,28.9,48,13.34,1,563.88,630,0,0.083351068,46.1,32.6,,9,11,12:57
Pipo,25,21,48,4.53,1,842.55,980,83.1,0.194024059,43.2,33.4,,7,29,13:29
Pipo,25,23.3,48,5.9,1,768.14,920,93.8,0.220267552,43.3,27.8,,7,29,14:38
Pipo,35,33.8,48,7.35,1,1401.61,750,62.73,0.116437027,41.2,27.2,,8,3,12:48
Pipo,35,32.7,48,7.18,1,842.82,810,80.5,0.108139283,38.8,29.2,,8,3,14:25
Pipo,35,NA,48,8.6,1,240.57,460,2.9,0.099763063,47.5,26.9,,9,11,12:20
Pipo,35,NA,48,5.68,1,716.54,880,19.73,0.101878472,40.9,29.2,,9,11,11:17
Pipo,35,NA,48,5.43,1,170.35,430,26.48,0.088054006,36.6,30.6,,9,11,13:36
Pipo,45,54.3,24,22.77,1,77.87,150,1.4,0.12841916,73.6,18.5,,4,23,12:08
Pipo,45,48.2,24,16.47,0,66.56,0,2.2,0,72.9,18.7,,4,23,12:42
Pipo,45,34.8,24,10.72,1,1470.69,790,84.05,0.108420672,46.1,31.3,,8,3,12:06
Pipo,45,34,24,3.78,1,989.34,950,84.15,0.195465207,41.4,34.3,,8,3,15:15
Pipo,55,NA,24,5.15,1,430.29,480,0.275,0.137116828,44.5,28.3,,0,0,2:00
Pipo,55,NA,24,8.15,1,88.99,470,1.51,0.123609394,37.9,30,,0,0,3:00
Pipo,55,NA,24,6.41,1,163.69,200,1.93,0.048872869,47.4,27.4,,7,21,12:57
Pipo,55,NA,24,4.91,1,155.35,39,7.51,0.115867396,46.4,28.1,,7,29,13:14
Pipo,55,NA,24,11.63,1,153.34,300,1.8,0.045650189,52.9,24.7,,7,29,14:25
Pipo,65,NA,0,6.95,1,81.14,240,2.67,0.073946266,46,28.2,,8,31,11:16
Pipo,65,NA,0,4.63,0,0,0,0,0,46,28.4,,8,31,13:51
Pipo,65,NA,0,11.25,0,0,0,0,0,54.1,24.7,,7,21,11:15
Pipo,65,NA,0,11.15,0,0,0,0,0,50.4,24.7,,7,21,15:07
Quke,10,12.5,120,3.05,1,359.46,660,85.9,0.477190303,55.1,29.4,,8,11,10:53
Quke,10,10.2,120,1.58,1,260.5,1070,96.1,0.669642857,48,32,,8,11,11:32
Quke,10,11,120,2.3,1,184.8,1060,97.1,0.864553314,41.8,35,,8,11,12:30
Quke,10,11.7,120,2.36,1,432.9,800,94.43,0.445447526,46.3,26.5,,5,4,10:48
Quke,10,12.2,120,2.61,1,278.48,770,91.45,0.586992252,31.7,31.2,,5,26,12:39
Quke,20,16.8,96,4,1,356.61,970,86.05,0.496310757,60.1,26.3,,5,26,13:42
Quke,20,16.5,96,3.25,1,403.71,740,86.55,0.40333423,49.7,32.1,,8,11,11:16
Quke,20,19.8,96,5.95,1,289.96,860,96.6,0.546089996,57.1,28.4,,8,11,12:00
Quke,20,19,96,5.15,1,260,920,95.65,0.600985616,51.4,30.7,,8,17,14:13
Quke,20,18.5,96,4.23,1,337.58,900,95.58,0.559054825,48.2,32,,8,17,15:27
Quke,25,26.7,96,2.78,1,363.55,700,10.5,0.165039197,65,21.8,,8,20,10:59
Quke,25,27.4,96,3.71,1,66.33,320,58.53,0.150761345,38.3,23.9,,8,20,13:20
Quke,25,23.8,96,1.64,1,258.83,400,75.65,0.367036279,34.7,25.5,,8,20,14:39
Quke,25,29.6,96,6.05,1,313.73,840,96.28,0.421881592,53.6,30.4,,7,27,10:31
Quke,25,24.8,96,2.66,1,292.44,790,95.28,0.535714286,49.6,31.4,,7,27,13:49
Quke,35,29.8,96,1.91,1,323.75,860,91.88,0.516528926,35.6,30.9,,8,17,13:48
Quke,35,30.5,96,2.18,1,299.26,880,91.05,0.523030789,33,32.8,,8,17,15:06
Quke,35,29.4,96,1.83,1,288.49,920,96.43,0.568785075,47.4,22.7,,8,20,11:41
Quke,35,32.4,96,2.23,1,366.04,840,88.93,0.455041864,49.1,24.1,,8,20,12:32
Quke,35,41.1,96,2.38,1,653.43,730,84.4,0.268158822,45.6,26.9,,8,20,14:11
Quke,45,44.4,96,4.41,1,274.6,1110,94.4,0.702247191,54.3,29.5,,8,31,13:07
Quke,45,25.5,96,1.58,1,249.4,1070,94.45,0.859106529,37.8,36.7,,8,31,14:52
Quke,45,42.5,96,4.05,1,416.99,670,89.1,0.376354878,38.5,30.1,,5,26,12:10
Quke,45,37.6,96,2.73,1,276.94,840,85,0.586395622,31.2,33.9,,8,31,13:35
Quke,45,47,96,6.21,1,484.74,690,57.08,0.329200044,46.3,24.7,,8,31,15:19
Quke,55,53.3,96,2.5,1,167.21,540,61.95,0.203337121,48.6,24.4,,5,4,12:11
Quke,55,62.7,96,8.42,1,98.33,550,59.85,0.284755415,46.5,25.7,,5,4,14:15
Quke,55,54.9,96,2.71,0,0,0,0,0,30,30.5,,7,27,12:06
Quke,55,57,96,2.73,1,96.91,350,55.05,0.464348364,26.3,33.8,,7,27,14:56
Quke,55,NA,96,8.88,1,182.33,520,53.7,0.279712609,42.3,29.1,,8,3,10:46
Quke,65,76.8,72,9.3,1,154.37,410,58.6,0.259117704,40.4,23.9,,8,31,11:50
Quke,65,74.3,72,8.33,1,400.12,480,56.88,0.242427272,31.8,31,,8,31,14:02
Quke,65,58.2,72,8.1,1,88.66,380,14.88,0.169185653,28.3,32.9,,9,11,10:56
Quke,65,NA,72,5.58,1,88.32,310,53.33,0.215126812,45.6,27.9,,8,20,11:11
Quke,65,NA,72,3.24,1,63.53,370,53.08,0.22036833,38.1,29.9,,8,20,13:33
Segi,10,12.5,72,15.9,1,678.48,250,19.78,0.038320953,60.2,23.2,,8,25,12:08
Segi,10,11.4,72,9.77,1,842.48,480,19.93,0.032048239,49.1,25.2,,7,29,14:51
Segi,10,10.5,72,7.3,1,2334.4,540,57.93,0.048834818,46.7,33.7,,8,3,13:22
Segi,10,12.4,72,9.98,1,2202.9,640,88.05,0.07397544,34.7,37,,8,3,15:02
Segi,10,14.6,72,19.42,1,1168.34,460,18.2,0.036804355,57.1,28.6,,0,0,2:00
Segi,20,21.3,48,8.7,0,0,0,0,0,38.6,29.7,,0,0,3:00
Segi,20,19.6,48,8.3,0,0,0,100,0,28.6,32.3,,,,
Segi,20,16.5,48,7.65,0,0,0,0,0,39.4,26.9,,,,
Segi,25,21.6,48,7.73,0,0,0,0,0,46.7,23.4,,,,
Segi,25,30.9,48,13.5,0,0,0,0,0,47.4,24.7,,,,
Segi,25,30.2,48,10.05,0,0,0,0,0,49.7,30.6,,,,
Segi,45,43.8,0,0,0,0,0,100,0,40.3,35.4,,,,
Segi,45,43,0,15.97,0,0,0,0,0,45.1,33.7,,,,
Segi,45,41.5,0,15.02,0,0,150,100,0,40.7,34.7,,,,
