nid,spcode,moisture,MC_dry,actualMC_dry,day,month,year,time,t2ignit,ignit.x,ignit.y,sustain,combust,consum.x,consum.y,spread.x,spread.y,rh,temp,hour,T_C
1,Abco,10,10,11.6,4,5,2015,12:35,16.53,1,1,95.04,190,6.4,6.4,0.38,0.031565657,57.9,75.1,96,23.9
2,Abco,10,10,9,4,5,2015,14:42,10.58,1,1,400.68,530,19.9,19.88,0.9,0.087351502,47.9,79.8,96,26.6
3,Abco,10,10,13.3,26,5,2015,13:13,20.74,1,1,160.24,280,6.3,6.33,0.36,0.031203195,35.6,77.8,96,25.4
4,Abco,10,10,11.6,26,5,2015,15:30,11.73,1,0,118.36,0,7,6.96,0,0,30,81.7,96,27.6
5,Abco,10,10,8.9,27,7,2015,10:46,9.93,1,1,892.5,350,25,15.63,0.75070028,0.075070028,49.7,88.7,96,31.5
6,Abco,15,20,18.2,14,8,2015,12:53,10.93,1,1,950.35,590,36.89,29,0.726,0.07260483,37.2,96.1,72,35.6
7,Abco,15,20,15.9,14,8,2015,15:20,7.21,0,0,0,0,0,0,0,0,34.3,99.1,72,37.3
8,Abco,15,20,20.4,25,8,2015,11:35,14.13,0,0,0,0,0,0,0,0,53.2,84.5,72,29.2
9,Abco,15,20,17.6,25,8,2015,13:09,9,0,0,0,0,0,0,0,0,40.7,90.5,72,32.5
10,Abco,20,25,27.7,23,4,2015,13:07,29.49,1,0,27.24,290,0,0,0,0,67.1,68.7,48,20.4
11,Abco,20,25,25.9,23,4,2015,13:36,20.27,1,0,23.66,270,0.3,0,0,0,66.4,68.7,48,20.4
12,Abco,20,25,25,27,7,2015,13:03,16.94,1,0,119,230,4,4.02,0,0,42.4,94.8,48,34.9
13,Abco,20,25,23.6,27,7,2015,15:48,10.07,0,0,0,0,0,0,0,0,33.3,100.4,48,38
14,Abco,25,35,NA,0,0,2015,0:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
15,Abco,30,45,NA,0,0,2015,1:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
16,Abco,35,55,NA,0,0,2015,2:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
17,Abco,40,65,NA,0,0,2015,3:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
18,Abma,10,10,11.1,4,5,2015,11:11,8.8,1,1,1497.05,670,62.1,62.1,0.67,0.066130056,64.1,71.8,96,22.1
19,Abma,10,10,12,4,5,2015,12:58,9.83,1,1,1671.99,620,95,94.95,0.96,0.094990818,55.5,75.8,96,24.3
20,Abma,10,10,13.7,26,5,2015,12:49,17.29,1,1,790.68,510,29.7,20.93,0.71,0.069560378,37.2,76.5,96,24.7
